rowid,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
311,535259,Steel (Earth-616),\/Steel_(Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,134,,
312,2061,Mad Thinker (Earth-616),\/Mad_Thinker_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,133,Jun-63,1963
313,2737,Brian Calusky (Earth-616),\/Brian_Calusky_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,133,Nov-74,1974
314,2064,Arthur Maddicks (Earth-616),\/Arthur_Maddicks_(Earth-616),No Dual Identity,Good Characters,White Eyes,No Hair,Male Characters,,Living Characters,133,Mar-86,1986
315,18656,Hedy Wolfe (Earth-616),\/Hedy_Wolfe_(Earth-616),No Dual Identity,,Hazel Eyes,Black Hair,Female Characters,,Living Characters,132,Nov-44,1944
316,18275,Isadore Cohen (Earth-616),\/Isadore_Cohen_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,132,May-63,1963
317,1464,Dormammu (Earth-616),\/Dormammu_(Earth-616),No Dual Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,132,Nov-64,1964
318,2088,Makkari (Earth-616),\/Makkari_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,131,Aug-40,1940
319,18271,Marlo Chandler (Earth-616),\/Marlo_Chandler_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,131,Sep-88,1988
320,45178,Percival Pinkerton (Earth-616),\/Percival_Pinkerton_(Earth-616),Public Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,,Deceased Characters,130,Jul-64,1964
321,7127,Quintavius Quire (Earth-616),\/Quintavius_Quire_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,130,Jan-03,2003
322,1881,Marla Madison (Earth-616),\/Marla_Madison_(Earth-616),No Dual Identity,,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,129,Nov-76,1976
323,37620,Cletus Kasady (Earth-616),\/Cletus_Kasady_(Earth-616),Public Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,129,Feb-91,1991
324,10485,Supreme Intelligence (Earth-616),\/Supreme_Intelligence_(Earth-616),No Dual Identity,Neutral Characters,Yellow Eyes,Green Hair,Male Characters,,Living Characters,128,Aug-67,1967
325,1090,Aragorn (Earth-616),\/Aragorn_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,128,Jan-68,1968
326,16003,Betty Dean (Earth-616),\/Betty_Dean_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Deceased Characters,127,Jan-40,1940
327,1916,Karnilla (Earth-616),\/Karnilla_(Earth-616),Secret Identity,Neutral Characters,Purple Eyes,Black Hair,Female Characters,,Living Characters,127,Aug-64,1964
328,2596,Jacqueline Falsworth (Earth-616),\/Jacqueline_Falsworth_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,127,Jul-76,1976
329,1267,Caliban (Earth-616),\/Caliban_(Earth-616),Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,,Deceased Characters,127,Aug-81,1981
330,1686,Isaac Christians (Earth-616),\/Isaac_Christians_(Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,127,Apr-81,1981
331,4011,Brock Rumlow (Earth-616),\/Brock_Rumlow_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,126,Oct-89,1989
332,2434,Paul Norbert Ebersol (Earth-616),\/Paul_Norbert_Ebersol_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,125,Feb-66,1966
333,1078,Annihilus (Earth-616),\/Annihilus_(Earth-616),No Dual Identity,Neutral Characters,Green Eyes,No Hair,Male Characters,,Living Characters,125,Nov-68,1968
334,43031,Red Sonja (Earth-616),\/Red_Sonja_(Earth-616),Public Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,,Deceased Characters,125,Feb-73,1973
335,1876,Jonathan Hart (Earth-616),\/Jonathan_Hart_(Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,125,Mar-76,1976
336,22326,Bambina Arbogast (Earth-616),\/Bambina_Arbogast_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,125,Jan-79,1979
337,1488,Sooraya Qadir (Earth-616),\/Sooraya_Qadir_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,125,Dec-02,2002
338,1546,Zeus Panhellenios (Earth-616),\/Zeus_Panhellenios_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,124,Jun-49,1949
339,19518,Randolph Robertson (Earth-616),\/Randolph_Robertson_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,124,Dec-68,1968
340,1068,Yao (Earth-616),\/Yao_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,122,Jun-61,1961
341,1036,Agatha Harkness (Earth-616),\/Agatha_Harkness_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Deceased Characters,122,Jan-70,1970
342,5395,Jack Tarr (Earth-616),\/Jack_Tarr_(Earth-616),Secret Identity,,Black Eyes,Black Hair,Male Characters,,Living Characters,122,Apr-74,1974
343,6635,Katherine Bishop (Earth-616),\/Katherine_Bishop_(Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,122,Apr-05,2005
344,2125,Jason Wyngarde (Earth-616),\/Jason_Wyngarde_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,,Deceased Characters,121,Mar-64,1964
345,2612,Walter Newell (Earth-616),\/Walter_Newell_(Earth-616),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,121,Sep-67,1967
346,7584,Joanna Cargill (Earth-616),\/Joanna_Cargill_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,121,May-86,1986
347,27860,Parker Robbins (Earth-616),\/Parker_Robbins_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,121,Jul-02,2002
348,2359,Rocket Raccoon (Earth-616),\/Rocket_Raccoon_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,120,Jun-76,1976
349,68317,Lyja (Earth-616),\/Lyja_(Earth-616),Secret Identity,Neutral Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,120,Apr-84,1984
350,1146,Georges Batroc (Earth-616),\/Georges_Batroc_(Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,119,Mar-66,1966
351,2002,Wyatt Wingfoot (Earth-616),\/Wyatt_Wingfoot_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,119,May-66,1966
352,1254,Henry Camp (Earth-616),\/Henry_Camp_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,119,Nov-74,1974
353,31525,Peter Quill (Earth-616),\/Peter_Quill_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,119,Jan-76,1976
354,2110,Marrow (Sarah) (Earth-616),\/Marrow_(Sarah)_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,119,Sep-94,1994
355,117089,Vision (Jonas) (Earth-616),\/Vision_(Jonas)_(Earth-616),Public Identity,Good Characters,Gold Eyes,No Hair,Male Characters,,Deceased Characters,119,Aug-05,2005
356,6637,William Kaplan (Earth-616),\/William_Kaplan_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,119,Apr-05,2005
357,1780,George Stacy (Earth-616),\/George_Stacy_(Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,118,Jan-68,1968
358,54511,Mari (Earth-616),\/Mari_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,118,Jan-79,1979
359,2474,Todd Arliss (Earth-616),\/Todd_Arliss_(Earth-616),Secret Identity,Bad Characters,Grey Eyes,No Hair,Male Characters,,Living Characters,116,Sep-68,1968
360,1786,Hammerhead (Joseph) (Earth-616),\/Hammerhead_(Joseph)_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,116,Oct-72,1972
361,1141,Heinrich Zemo (Earth-616),\/Heinrich_Zemo_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,,Deceased Characters,115,Mar-64,1964
362,1025,Emil Blonsky (Earth-616),\/Emil_Blonsky_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,115,Apr-67,1967
363,16586,Arcturus Rann (Earth-616),\/Arcturus_Rann_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,115,Jan-79,1979
364,18175,James Woo (Earth-616),\/James_Woo_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,114,Oct-56,1956
365,1479,Frank Drake (Earth-616),\/Frank_Drake_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,114,Apr-72,1972
366,1268,Callisto (Earth-616),\/Callisto_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,114,May-83,1983
367,1463,Dorma (Earth-616),\/Dorma_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Auburn Hair,Female Characters,,Deceased Characters,113,Oct-39,1939
368,2484,Lonnie Lincoln (Earth-616),\/Lonnie_Lincoln_(Earth-616),Public Identity,Bad Characters,Pink Eyes,White Hair,Male Characters,,Living Characters,113,Mar-88,1988
369,1465,Doop (Earth-616),\/Doop_(Earth-616),No Dual Identity,Good Characters,Variable Eyes,Black Hair,Male Characters,Bisexual Characters,Living Characters,113,Jul-01,2001
370,2298,David Alleyne (Earth-616),\/David_Alleyne_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Bisexual Characters,Living Characters,113,Oct-03,2003
371,1816,Hepzibah (Earth-616),\/Hepzibah_(Earth-616),Secret Identity,Good Characters,Green Eyes,White Hair,Female Characters,,Living Characters,112,Oct-77,1977
372,1618,Charlie Cluster-7 (Earth-616),\/Charlie_Cluster-7_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,112,Aug-02,2002
373,2380,Samuel Sawyer (Earth-616),\/Samuel_Sawyer_(Earth-616),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Deceased Characters,111,May-63,1963
374,2635,Jacques Duquesne (Earth-616),\/Jacques_Duquesne_(Earth-616),Known to Authorities Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,111,Aug-65,1965
375,1091,Arcade (Earth-616),\/Arcade_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,111,Jan-78,1978
376,4703,Mary Walker (Earth-616),\/Mary_Walker_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,111,May-88,1988
377,2029,Miguel Santos (Earth-616),\/Miguel_Santos_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,111,Oct-90,1990
378,1361,Christopher Summers (Earth-616),\/Christopher_Summers_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,110,Apr-77,1977
379,9851,Morris Bench (Earth-616),\/Morris_Bench_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,110,Jan-81,1981
380,1984,David Cannon (Earth-616),\/David_Cannon_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,109,Dec-63,1963
381,2300,Prosh (Earth-616),\/Prosh_(Earth-616),Secret Identity,Good Characters,Variable Eyes,No Hair,,,Living Characters,109,Jan-88,1988
382,1825,Roderick Kingsley (Earth-616),\/Roderick_Kingsley_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,108,Jun-80,1980
383,1124,Dominikos Petrakis (Earth-616),\/Dominikos_Petrakis_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,108,Jan-81,1981
384,2317,St. John Allerdyce (Earth-616),\/St._John_Allerdyce_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,108,Jan-81,1981
385,5513,Mary MacPherran (Earth-616),\/Mary_MacPherran_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,108,Jul-84,1984
386,2593,Rita Wayword (Earth-616),\/Rita_Wayword_(Earth-616),Secret Identity,Neutral Characters,White Eyes,Silver Hair,Female Characters,,Living Characters,108,Sep-85,1985
387,2561,Angelo Espinosa (Earth-616),\/Angelo_Espinosa_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,108,Oct-94,1994
388,8930,Layla Miller (Earth-616),\/Layla_Miller_(Earth-616),No Dual Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,108,Sep-05,2005
389,1610,Leland Owlsley (Earth-616),\/Leland_Owlsley_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,107,Aug-64,1964
390,2389,Karl Lykos (Earth-616),\/Karl_Lykos_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,107,Aug-69,1969
391,1877,Jason Macendale Jr. (Earth-616),\/Jason_Macendale_Jr._(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,107,Feb-81,1981
392,15587,Clay Harder (Earth-616),\/Clay_Harder_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,106,Mar-48,1948
393,1665,Frigga (Earth-616),\/Frigga_(Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,106,May-63,1963
394,1849,Ikaris (Eternal) (Earth-616),\/Ikaris_(Eternal)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,106,Jul-76,1976
395,2119,Jack Power (Earth-616),\/Jack_Power_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,106,Aug-84,1984
396,1515,Katherine Power (Earth-616),\/Katherine_Power_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,106,Aug-84,1984
397,7628,Sharon Ventura (Earth-616),\/Sharon_Ventura_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,105,Sep-85,1985
398,14469,Nico Minoru (Earth-616),\/Nico_Minoru_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,105,Jul-03,2003
399,29110,Clive Reston (Earth-616),\/Clive_Reston_(Earth-616),Public Identity,,Blue Eyes,Grey Hair,Male Characters,,Living Characters,104,Mar-75,1975
400,389128,Idie Okonkwo (Earth-616),\/Idie_Okonkwo_(Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,104,Nov-10,2010
401,1990,Robert Frank (Earth-616),\/Robert_Frank_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,,Deceased Characters,103,Aug-41,1941
402,5464,Elizabeth Twoyoungmen (Earth-616),\/Elizabeth_Twoyoungmen_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,103,Dec-83,1983
403,2637,Everett Thomas (Earth-616),\/Everett_Thomas_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Deceased Characters,103,Sep-94,1994
404,120752,Danger (Earth-616),\/Danger_(Earth-616),No Dual Identity,Good Characters,,No Hair,Female Characters,,Living Characters,103,Mar-05,2005
405,6636,Dorrek VIII (Earth-616),\/Dorrek_VIII_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Homosexual Characters,Living Characters,103,Apr-05,2005
406,76268,Amadeus Cho (Earth-616),\/Amadeus_Cho_(Earth-616),No Dual Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,103,Jan-06,2006
407,2314,Phillip Masters (Earth-616),\/Phillip_Masters_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Bald,Male Characters,,Deceased Characters,102,Nov-62,1962
408,1509,Joshua Foley (Earth-616),\/Joshua_Foley_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,101,Nov-03,2003
409,1138,Karl Mordo (Earth-616),\/Karl_Mordo_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,100,Aug-63,1963
410,1526,Eternity (Earth-616),\/Eternity_(Earth-616),Secret Identity,Neutral Characters,Black Eyes,No Hair,,,Living Characters,100,Nov-65,1965
411,1183,William Foster (Earth-616),\/William_Foster_(Earth-616),Secret Identity,,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,100,Sep-66,1966
412,18648,Leiko Wu (Earth-616),\/Leiko_Wu_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,100,Oct-75,1975
413,14479,Chase Stein (Earth-616),\/Chase_Stein_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,100,Jul-03,2003
414,626857,Howard Hanover (Earth-616),\/Howard_Hanover_(Earth-616),Public Identity,,,Black Hair,Male Characters,,Living Characters,100,,
415,3936,Louise Grant (Earth-616),\/Louise_Grant_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,99,Sep-46,1946
416,27054,Grand Vizier (Asgard) (Earth-616),\/Grand_Vizier_(Asgard)_(Earth-616),Secret Identity,Good Characters,,White Hair,Male Characters,,Living Characters,99,Sep-65,1965
417,1632,Pyreus Kril (Earth-616),\/Pyreus_Kril_(Earth-616),Secret Identity,Neutral Characters,White Eyes,Yellow Hair,Male Characters,,Living Characters,99,Jul-74,1974
418,16583,Acroyear (Earth-616),\/Acroyear_(Earth-616),No Dual Identity,Good Characters,Grey Eyes,No Hair,Male Characters,,Living Characters,99,Jan-79,1979
419,1955,Yuriko Oyama (Earth-616),\/Yuriko_Oyama_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,99,Aug-83,1983
420,6638,Elijah Bradley (Earth-616),\/Elijah_Bradley_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,99,Apr-05,2005
421,2240,Frankie Raye (Earth-616),\/Frankie_Raye_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,98,Nov-75,1975
422,2078,Jimaine Szardos (Earth-616),\/Jimaine_Szardos_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,98,Apr-76,1976
423,1165,Bethany Cabe (Earth-616),\/Bethany_Cabe_(Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,98,Dec-78,1978
424,4149,Phillip Urich (Earth-616),\/Phillip_Urich_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Brown Hair,Male Characters,,Living Characters,98,Jun-95,1995
425,2495,Delroy Garrett Jr. (Earth-616),\/Delroy_Garrett_Jr._(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,98,Sep-98,1998
426,3763,Anya Corazon (Earth-616),\/Anya_Corazon_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,98,Aug-04,2004
427,195422,Victoria Hand (Earth-616),\/Victoria_Hand_(Earth-616),No Dual Identity,Neutral Characters,Hazel Eyes,Black Hair,Female Characters,Homosexual Characters,Deceased Characters,98,Feb-09,2009
428,1299,Margaret Carter (Earth-616),\/Margaret_Carter_(Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Deceased Characters,97,Mar-66,1966
429,15936,Clay Quartermain (Earth-616),\/Clay_Quartermain_(Earth-616),No Dual Identity,,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,97,Dec-67,1967
430,1703,Ghost (Earth-616),\/Ghost_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,97,Jun-87,1987
431,19527,Jill Stacy (Earth-616),\/Jill_Stacy_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,97,Jan-97,1997
432,33266,Abigail Brand (Earth-616),\/Abigail_Brand_(Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,97,Sep-04,2004
433,107154,Carlie Cooper (Earth-616),\/Carlie_Cooper_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,97,Jan-08,2008
434,1745,Paul Duval (Earth-616),\/Paul_Duval_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,96,Aug-64,1964
435,1207,Blastaar (Earth-616),\/Blastaar_(Earth-616),Secret Identity,Bad Characters,Grey Eyes,Grey Hair,Male Characters,,Living Characters,96,May-67,1967
436,1244,Jericho Drumm (Earth-616),\/Jericho_Drumm_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,96,Sep-73,1973
437,16285,Ruth Aldine (Earth-616),\/Ruth_Aldine_(Earth-616),Secret Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,96,Jan-05,2005
438,72375,Azura (Earth-616),\/Azura_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,95,Aug-40,1940
439,530817,Cyclone (Horse) (Earth-616),\/Cyclone_(Horse)_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,95,Mar-48,1948
440,239980,Matthew Masters (Earth-616),\/Matthew_Masters_(Earth-616),Secret Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,95,Dec-48,1948
441,2050,Luna Maximoff (Earth-616),\/Luna_Maximoff_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,95,Mar-82,1982
442,5684,Silhouette Chord (Earth-616),\/Silhouette_Chord_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,95,Aug-90,1990
443,1120,Attuma (Earth-616),\/Attuma_(Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,94,Dec-64,1964
444,2560,Sally Blevins (Earth-616),\/Sally_Blevins_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,94,Aug-86,1986
445,2584,James Sanders (Earth-616),\/James_Sanders_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Blond Hair,Male Characters,,Living Characters,93,Oct-69,1969
446,41819,Denis Nayland Smith (Earth-616),\/Denis_Nayland_Smith_(Earth-616),Secret Identity,Good Characters,,Bald,Male Characters,,Deceased Characters,93,Dec-73,1973
447,19841,Andreas von Strucker (Earth-616),\/Andreas_von_Strucker_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,93,Jun-85,1985
448,2475,Patricia Tilby (Earth-616),\/Patricia_Tilby_(Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,93,Aug-86,1986
449,7373,Michael Collins (Earth-616),\/Michael_Collins_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,93,Jul-90,1990
450,17514,Groot (Earth-616),\/Groot_(Earth-616),No Dual Identity,Good Characters,Black Eyes,No Hair,Male Characters,,Living Characters,92,Nov-60,1960
451,2398,Vashti Cleito-Son (Earth-616),\/Vashti_Cleito-Son_(Earth-616),Secret Identity,Good Characters,,White Hair,Male Characters,,Living Characters,92,Sep-65,1965
452,1748,Eric Williams (Earth-616),\/Eric_Williams_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,92,May-68,1968
453,1674,Gaea (Earth-616),\/Gaea_(Earth-616),Secret Identity,Good Characters,,,Female Characters,,Living Characters,92,Feb-75,1975
454,2336,Raza Longknife (Earth-616),\/Raza_Longknife_(Earth-616),Secret Identity,Neutral Characters,One Eye,Orange Hair,Male Characters,,Living Characters,92,Oct-77,1977
455,2360,Rom (Earth-616),\/Rom_(Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,92,Dec-79,1979
456,2520,Selene Gallio (Earth-616),\/Selene_Gallio_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,92,Nov-83,1983
457,44158,Norman Harold Osborn (Earth-616),\/Norman_Harold_Osborn_(Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,92,Apr-85,1985
458,2499,Michiko Musashi (Earth-616),\/Michiko_Musashi_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,92,Oct-92,1992
459,86454,Skaar (Earth-616),\/Skaar_(Earth-616),No Dual Identity,Good Characters,Green Eyes,Black Hair,Male Characters,,Living Characters,92,Jan-08,2008
460,1573,Ulik (Earth-616),\/Ulik_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,91,Feb-67,1967
461,19595,Roxanne Simpson (Earth-616),\/Roxanne_Simpson_(Earth-616),Secret Identity,Good Characters,,,Female Characters,,Deceased Characters,91,Aug-72,1972
462,24456,Sinthea Shmidt (Earth-616),\/Sinthea_Shmidt_(Earth-616),Public Identity,Bad Characters,Brown Eyes,No Hair,Female Characters,,Living Characters,91,Feb-84,1984
463,1240,George Washington Bridge (Earth-616),\/George_Washington_Bridge_(Earth-616),Secret Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Deceased Characters,91,Aug-91,1991
464,14474,Molly Hayes (Earth-616),\/Molly_Hayes_(Earth-616),Secret Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,90,Jul-03,2003
465,1341,Klaus Voorhees (Earth-616),\/Klaus_Voorhees_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,89,Nov-63,1963
466,2395,Vanisher (Earth-616),\/Vanisher_(Earth-616),Secret Identity,Neutral Characters,Green Eyes,Bald,Male Characters,,Living Characters,89,Nov-63,1963
467,1529,Skurge (Earth-616),\/Skurge_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,88,Apr-64,1964
